Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
TEAM_CA_AVG;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:G1001;*|contact_personal_id|*;;;
TEAM_SKILLS_AVG;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:M1001;*|contact_personal_id|*;;;
TEAM_PASSION_AVG;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:R1001;*|contact_personal_id|*;;;
TEAM_OVERALL_AVG;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:S1001;*|contact_personal_id|*;;;
Q5_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:T1001;*|contact_personal_id|*;;;
Q5_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:U1001;*|contact_personal_id|*;;;
Q5_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:V1001;*|contact_personal_id|*;;;
Q5_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:W1001;*|contact_personal_id|*;;;
Q5_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:X1001;*|contact_personal_id|*;;;
Q10_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:Y1001;*|contact_personal_id|*;;;
Q10_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:Z1001;*|contact_personal_id|*;;;
Q10_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AA1001;*|contact_personal_id|*;;;
Q10_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AB1001;*|contact_personal_id|*;;;
Q10_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AC1001;*|contact_personal_id|*;;;
Q15_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AD1001;*|contact_personal_id|*;;;
Q15_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AE1001;*|contact_personal_id|*;;;
Q15_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AF1001;*|contact_personal_id|*;;;
Q15_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AG1001;*|contact_personal_id|*;;;
Q15_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AH1001;*|contact_personal_id|*;;;
Q16_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AI1001;*|contact_personal_id|*;;;
Q16_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AJ1001;*|contact_personal_id|*;;;
Q16_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AK1001;*|contact_personal_id|*;;;
Q16_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AL1001;*|contact_personal_id|*;;;
Q16_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AM1001;*|contact_personal_id|*;;;
Q20_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AN1001;*|contact_personal_id|*;;;
Q20_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AO1001;*|contact_personal_id|*;;;
Q20_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AP1001;*|contact_personal_id|*;;;
Q20_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AQ1001;*|contact_personal_id|*;;;
Q20_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AR1001;*|contact_personal_id|*;;;
Q21_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AS1001;*|contact_personal_id|*;;;
Q21_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AT1001;*|contact_personal_id|*;;;
Q21_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AU1001;*|contact_personal_id|*;;;
Q21_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AV1001;*|contact_personal_id|*;;;
Q21_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AW1001;*|contact_personal_id|*;;;
Q24_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AX1001;*|contact_personal_id|*;;;
Q24_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AY1001;*|contact_personal_id|*;;;
Q24_A3;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:AZ1001;*|contact_personal_id|*;;;
Q24_A4;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:BA1001;*|contact_personal_id|*;;;
Q24_A5;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:BB1001;*|contact_personal_id|*;;;
Q25_A1;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:BC1001;*|contact_personal_id|*;;;
Q25_A2;spreadsheet;realtime;;1nbk3Xxyj3NFbgiG1CeI2xGLDFnn_w8ni9TZqoJjftoE;Calculations!A2:BD1001;*|contact_personal_id|*;;;
