"Label Key";"Default Language";"_4";"_32";"_567";"_587"
topscore;Response List;Liste de réponses;Lista de respuestas;Orodha ya Majibu;Urutonde rwibisubizo
start_survey;I'm ready!;Je suis prêt!;¡Estoy listo!;Niko tayari!;Niteguye!
next_question;Next;Suivant;próximo;Ifuatayo;Ibikurikira
view_score;Submit;Soumettre;Enviar;Enviar;Tanga
back_to_start;;;;;
view_response;View Correct Answers;Afficher les réponses correctes;Ver respuestas correctas;Angalia Majibu Sahihi;Reba Ibisubizo Byukuri
leaderboard_back;;;;;
imgupload_picture_btn;Take a Picture;View Correct Answers;Toma una foto;Piga picha;Fata Ifoto
imgupload_upload_btn;Upload;Télécharger;Subir;Pakia;Kuramo
imgupload_filename;Filename:;Nom de fichier:;Nombre del archivo:;Jina la faili:;Izina rya dosiye:
imgupload_progress;Progress: Uploading...;Progression : Téléchargement...;Progreso: subiendo…;Maendeleo: Inapakia…;Amajyambere: Gukuramo…
imgupload_success;Upload successful;Téléchargement réussi;Subida exitosa;Kupakia kumefanikiwa;Kuramo neza
imgupload_fail;Upload failed;Échec du téléchargement;Subida fallida;Imeshindwa kupakia;Gukuramo byarananiranye
topscore_refresh;Refresh;Rafraîchir;Actualizar;Onyesha upya;Ongera
loading;Loading...;Chargement...;Cargando...;Inapakia ...;Kuremera ...
preview;Preview Mode: No results saved!;Mode Aperçu : Aucun résultat enregistré !;Modo de vista previa: ¡No se guardaron resultados!;Hali ya Kuhakiki: Hakuna matokeo yaliyohifadhiwa!;Uburyo bwo kureba: Nta bisubizo byabitswe!
mandatory_ok;OK;d'accord;OK;sawa;
mandatory_minandmax;Please select the required number of answers;Veuillez sélectionner le nombre de réponses souhaité;Seleccione el número requerido de respuestas;Tafadhali chagua idadi inayohitajika ya majibu;Nyamuneka hitamo umubare ukenewe wibisubizo
mandatory_min;The minimum number of selected answers is:;Le nombre minimum de réponses sélectionnées est :;El número mínimo de respuestas seleccionadas es:;Idadi ya chini ya majibu yaliyochaguliwa ni:;Umubare ntarengwa wibisubizo byatoranijwe ni:
mandatory_max;The maximum number of selected answers is:;Le nombre maximum de réponses sélectionnées est :;El número máximo de respuestas seleccionadas es:;Idadi kubwa ya majibu yaliyochaguliwa ni:;Umubare ntarengwa wibisubizo byatoranijwe ni:
imgupload_waiting;Progress: Awaiting reply from the server.;Progression : En attente de réponse du serveur.;Progreso: esperando respuesta del servidor.;Maendeleo:;Nyamuneka hitamo umubare ukenewe wibisubizo
languagescreen;The intro text on the language screen;Le texte d'introduction sur l'écran de langue;El texto de introducción en la pantalla de idioma;The intro text on the language screen;The intro text on the language screen
