Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
EXTERNAL_FIELD_NIBC_Q2_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!A1:C1000;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q2_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!D:D;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q2_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!E:E;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q3_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!F:F;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q3_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!G:G;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q3_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!H:H;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q4_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!I:I;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q4_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!J:J;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q4_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!K:K;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q5_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!L:L;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q5_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!M:M;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q5_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!N:N;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q6_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!O:O;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q6_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!P:P;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q6_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!Q:Q;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q7_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!R:R;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q7_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!S:S;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q7_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!T:T;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q8_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!U:U;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q8_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!V:V;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q8_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!W:W;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q9_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!X:X;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q9_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!Y:Y;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q9_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!Z:Z;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q10_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AA:AA;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q10_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AB:AB;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q10_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AC:AC;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q11_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AD:AD;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q11_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AE:AE;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q11_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AF:AF;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q12_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AG:AG;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q12_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AH:AH;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q12_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AI:AI;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q13_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AJ:AJ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q13_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AK:AK;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q13_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AL:AL;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q14_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AM:AM;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q14_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AN:AN;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q14_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AO:AO;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AP:AP;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AQ:AQ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AR:AR;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AS:AS;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AT:AT;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AU:AU;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q17_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AV:AV;*|intro_field2_response|*;;;
