Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
BW_Q4_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!B2;;;;
BW_Q5_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!C2;;;;
BW_Q6_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!D2;;;;
BW_Q10_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!N2;;;;
BW_Q11_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!O2;;;;
BW_Q12_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!P2;;;;
BW_Q16_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!Z2;;;;
BW_Q17_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AA2;;;;
BW_Q18_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AB2;;;;
BW_Q4_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:B1003;*|intro_field1_response|*;;;
BW_Q5_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:C1003;*|intro_field1_response|*;;;
BW_Q6_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:D1003;*|intro_field1_response|*;;;
BW_Q7_TEAM_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:D1003;*|intro_field1_response|*;;;
BW_Q7_A1;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:F1003;*|intro_field1_response|*;;;
BW_Q7_A2;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:G1003;*|intro_field1_response|*;;;
BW_Q7_A3;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:H1003;*|intro_field1_response|*;;;
BW_Q7_A4;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:I1003;*|intro_field1_response|*;;;
