Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
GLOBAL_NC;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!B4;;;;
GLOBAL_PA;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!B5;;;;
GLOBAL_MA;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!B6;;;;
GLOBAL_FA;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!B7;;;;
GLOBAL_NC_AC_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C11;;;;
GLOBAL_NC_AC_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C12;;;;
GLOBAL_NC_PA_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C13;;;;
GLOBAL_NC_PA_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C14;;;;
GLOBAL_NC_CMO_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C15;;;;
GLOBAL_NC_CMO_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C16;;;;
GLOBAL_NC_UAH_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C17;;;;
GLOBAL_NC_UAH_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C18;;;;
GLOBAL_NC_RAP_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C19;;;;
GLOBAL_NC_RAP_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C20;;;;
GLOBAL_NC_POS_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C21;;;;
GLOBAL_NC_POS_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C22;;;;
GLOBAL_NC_MA_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C23;;;;
GLOBAL_NC_MA_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C24;;;;
GLOBAL_NC_DB_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C25;;;;
GLOBAL_NC_DB_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C26;;;;
GLOBAL_PA_AC_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C30;;;;
GLOBAL_PA_AC_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C31;;;;
GLOBAL_PA_PA_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C32;;;;
GLOBAL_PA_PA_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C33;;;;
